Relative File Path	Character / Subject Name	Real Actor / Actress	Franchise / Show
good/MiniMax_H3_00609_.mp4	Caitlyn	Katie Leung	Arcane
good/MiniMax_H3_00610_.mp4	Jinx	Ella Purnell	Arcane
good/MiniMax_H3_00611_.mp4	Silco	Jason Spisak	Arcane
good/MiniMax_H3_00612_.mp4	Vi	Hailee Steinfeld	Arcane
good/MiniMax_H3_00613_.mp4	Black Widow	Scarlett Johansson	Marvel's Avengers
good/MiniMax_H3_00614_.mp4	Bruce Banner	Mark Ruffalo	Marvel's Avengers
good/MiniMax_H3_00615_.mp4	Nick Fury	Samuel L. Jackson	Marvel's Avengers
good/MiniMax_H3_00616_.mp4	Scarlet Witch	Elizabeth Olsen	Marvel's Avengers
good/MiniMax_H3_00617_.mp4	Steve Rogers	Chris Evans	Marvel's Avengers
good/MiniMax_H3_00618_.mp4	Thor	Chris Hemsworth	Marvel's Avengers
good/MiniMax_H3_00619_.mp4	Tony Stark	Robert Downey Jr.	Marvel's Avengers
good/MiniMax_H3_00620_.mp4	Howard Wolowitz	Simon Helberg	The Big Bang Theory
good/MiniMax_H3_00621_.mp4	Leonard Hofstadter	Johnny Galecki	The Big Bang Theory
good/MiniMax_H3_00622_.mp4	Penny	Kaley Cuoco	The Big Bang Theory
good/MiniMax_H3_00623_.mp4	Raj Koothrappali	Kunal Nayyar	The Big Bang Theory
good/MiniMax_H3_00624_.mp4	Sheldon Cooper	Jim Parsons	The Big Bang Theory
good/MiniMax_H3_00625_.mp4	Jesse Pinkman	Aaron Paul	Breaking Bad
good/MiniMax_H3_00626_.mp4	Saul Goodman	Bob Odenkirk	Breaking Bad
good/MiniMax_H3_00627_.mp4	Walter White	Bryan Cranston	Breaking Bad
good/MiniMax_H3_00628_.mp4	Larry David	Larry David	Curb Your Enthusiasm
good/MiniMax_H3_00636_.mp4	Malcolm Reynolds	Nathan Fillion	Firefly
good/MiniMax_H3_00639_.mp4	Chandler Bing	Matthew Perry	Friends
good/MiniMax_H3_00640_.mp4	Joey Tribbiani	Matt LeBlanc	Friends
good/MiniMax_H3_00642_.mp4	Phoebe Buffay	Lisa Kudrow	Friends
good/MiniMax_H3_00643_.mp4	Rachel Green	Jennifer Aniston	Friends
good/MiniMax_H3_00644_.mp4	Ross Geller	David Schwimmer	Friends
good/MiniMax_H3_00645_.mp4	Daenerys Targaryen	Emilia Clarke	Game of Thrones
good/MiniMax_H3_00646_.mp4	Jon Snow	Kit Harington	Game of Thrones
good/MiniMax_H3_00648_.mp4	Tyrion Lannister	Peter Dinklage	Game of Thrones
good/MiniMax_H3_00649_.mp4	Dr. Gregory House	Hugh Laurie	House M.D.
good/MiniMax_H3_00653_.mp4	Frank Underwood	Kevin Spacey	House of Cards
good/MiniMax_H3_00654_.mp4	Barney Stinson	Neil Patrick Harris	How I Met Your Mother
good/MiniMax_H3_00655_.mp4	Ted Mosby	Josh Radnor	How I Met Your Mother
good/MiniMax_H3_00656_.mp4	John Oliver	John Oliver	Last Week Tonight
good/MiniMax_H3_00657_.mp4	Chloe Decker	Lauren German	Lucifer
good/MiniMax_H3_00658_.mp4	Lucifer Morningstar	Tom Ellis	Lucifer
good/MiniMax_H3_00661_.mp4	Adrian Monk	Tony Shalhoub	Monk
good/MiniMax_H3_00666_.mp4	Mr. Bean	Rowan Atkinson	Mr. Bean
good/MiniMax_H3_00667_.mp4	Darlene Alderson	Carly Chaikin	Mr. Robot
good/MiniMax_H3_00668_.mp4	Elliot Alderson	Rami Malek	Mr. Robot
good/MiniMax_H3_00670_.mp4	Beth Smith	Sarah Chalke	Rick and Morty
good/MiniMax_H3_00672_.mp4	Morty Smith	Justin Roiland	Rick and Morty
good/MiniMax_H3_00673_.mp4	Rick Sanchez	Justin Roiland	Rick and Morty
good/MiniMax_H3_00674_.mp4	Summer Smith	Spencer Grammer	Rick and Morty
good/MiniMax_H3_00675_.mp4	RoboCop	Peter Weller	RoboCop
good/MiniMax_H3_00676_.mp4	Dr. John Watson	Martin Freeman	Sherlock (BBC)
good/MiniMax_H3_00677_.mp4	Sherlock Holmes	Benedict Cumberbatch	Sherlock (BBC)
good/MiniMax_H3_00678_.mp4	Dr. Hannibal Lecter	Anthony Hopkins	The Silence of the Lambs
good/MiniMax_H3_00679_.mp4	Data	Brent Spiner	Star Trek: The Next Generation
good/MiniMax_H3_00682_.mp4	Geordi La Forge	LeVar Burton	Star Trek: The Next Generation
good/MiniMax_H3_00683_.mp4	Jean-Luc Picard	Patrick Stewart	Star Trek: The Next Generation
good/MiniMax_H3_00684_.mp4	William Riker	Jonathan Frakes	Star Trek: The Next Generation
good/MiniMax_H3_00685_.mp4	Worf	Michael Dorn	Star Trek: The Next Generation
good/MiniMax_H3_00686_.mp4	Castiel	Misha Collins	Supernatural
good/MiniMax_H3_00687_.mp4	Dean Winchester	Jensen Ackles	Supernatural
good/MiniMax_H3_00688_.mp4	Sam Winchester	Jared Padalecki	Supernatural
good/MiniMax_H3_00689_.mp4	The Terminator T-800	Arnold Schwarzenegger	The Terminator
good/MiniMax_H3_00691_.mp4	Dwight Schrute	Rainn Wilson	The Office
good/MiniMax_H3_00692_.mp4	Jim Halpert	John Krasinski	The Office
good/MiniMax_H3_00693_.mp4	Michael Scott	Steve Carell	The Office
good/MiniMax_H3_00694_.mp4	Pam Beesly	Jenna Fischer	The Office
good/MiniMax_H3_00697_.mp4	Tony Soprano	James Gandolfini	The Sopranos
good/MiniMax_H3_00698_.mp4	Dana Scully	Gillian Anderson	The X-Files
good/MiniMax_H3_00699_.mp4	Fox Mulder	David Duchovny	The X-Files
good/MiniMax_H3_00700_.mp4	Amy Farrah Fowler	Mayim Bialik	The Big Bang Theory
good/MiniMax_H3_00701_.mp4	Bernadette Rostenkowski	Melissa Rauch	The Big Bang Theory
good/MiniMax_H3_00704_.mp4	Bobby Singer	Jim Beaver	Supernatural
good/MiniMax_H3_00707_.mp4	Loki	Tom Hiddleston	Marvel's Avengers
good/MiniMax_H3_00708_.mp4	Doctor Strange	Benedict Cumberbatch	Marvel's Avengers
good/MiniMax_H3_00709_.mp4	Deadpool	Ryan Reynolds	Deadpool / Marvel's Avengers
good/MiniMax_H3_00710_.mp4	Wolverine	Hugh Jackman	Marvel's Avengers / X-Men
good/MiniMax_H3_00716_.mp4	Andy Bernard	Ed Helms	The Office
good/MiniMax_H3_00724_.mp4	Jerry Seinfeld	Jerry Seinfeld	Seinfeld
good/MiniMax_H3_00725_.mp4	George Costanza	Jason Alexander	Seinfeld
good/MiniMax_H3_00726_.mp4	Elaine Benes	Julia Louis-Dreyfus	Seinfeld
good/MiniMax_H3_00728_.mp4	Carrie Bradshaw	Sarah Jessica Parker	Sex and the City
good/MiniMax_H3_00732_.mp4	Dr. Temperance Brennan	Emily Deschanel	Bones
good/MiniMax_H3_00733_.mp4	Seeley Booth	David Boreanaz	Bones
good/MiniMax_H3_00734_.mp4	John Rambo	Sylvester Stallone	Rambo
good/MiniMax_H3_00735_.mp4	John McClane	Bruce Willis	Die Hard
good/MiniMax_H3_00739_.mp4	Jake Peralta	Andy Samberg	Brooklyn Nine-Nine
good/MiniMax_H3_00740_.mp4	Captain Raymond Holt	Andre Braugher	Brooklyn Nine-Nine
good/MiniMax_H3_00747_.mp4	Jack Shephard	Matthew Fox	Lost
good/MiniMax_H3_00748_.mp4	John Locke	Terry O'Quinn	Lost
good/MiniMax_H3_00750_.mp4	Buffy Summers	Sarah Michelle Gellar	Buffy the Vampire Slayer
good/MiniMax_H3_00751_.mp4	The Tenth Doctor	David Tennant	Doctor Who
good/MiniMax_H3_00754_.mp4	Jack Bauer	Kiefer Sutherland	24
good/MiniMax_H3_00755_.mp4	Don Draper	Jon Hamm	Mad Men
good/MiniMax_H3_00756_.mp4	Indiana Jones	Harrison Ford	Indiana Jones
good/MiniMax_H3_00757_.mp4	Captain Jack Sparrow	Johnny Depp	Pirates of the Caribbean
good/MiniMax_H3_00758_.mp4	Maximus Decimus Meridius	Russell Crowe	Gladiator
good/MiniMax_H3_00759_.mp4	Clark Kent	Tom Welling	Smallville
good/MiniMax_H3_00762_.mp4	Liz Lemon	Tina Fey	30 Rock
good/MiniMax_H3_00763_.mp4	Jack Donaghy	Alec Baldwin	30 Rock
good/MiniMax_H3_00765_.mp4	Will Smith	Will Smith	The Fresh Prince of Bel-Air
good/MiniMax_H3_00773_.mp4	James Bond (Daniel Craig)	Daniel Craig	James Bond
good/MiniMax_H3_00774_.mp4	Gandalf	Ian McKellen	Lord of the Rings
good/MiniMax_H3_00775_.mp4	Star-Lord	Chris Pratt	Marvel's Avengers
good/MiniMax_H3_00787_.mp4	Wednesday Addams	Jenna Ortega	Wednesday
good/MiniMax_H3_00788_.mp4	Angel	David Boreanaz	Buffy the Vampire Slayer
good/MiniMax_H3_00871_.mp4	Rick Grimes	Andrew Lincoln	The Walking Dead
good/MiniMax_H3_00872_.mp4	Negan	Jeffrey Dean Morgan	The Walking Dead
good/MiniMax_H3_00873_.mp4	Daryl Dixon	Norman Reedus	The Walking Dead
good/MiniMax_H3_00874_.mp4	Michonne	Danai Gurira	The Walking Dead
good/MiniMax_H3_00875_.mp4	Glenn Rhee	Steven Yeun	The Walking Dead
good/MiniMax_H3_00877_.mp4	President Josiah "Jed" Bartlet	Martin Sheen	The West Wing
good/MiniMax_H3_00878_.mp4	Josh Lyman	Bradley Whitford	The West Wing
good/MiniMax_H3_00883_.mp4	Darth Vader (voiced by James Earl Jones)	Darth Vader (voiced by James Earl Jones)	Star Wars
good/MiniMax_H3_00884_.mp4	Thanos	Josh Brolin	Marvel's Avengers
good/MiniMax_H3_00888_.mp4	Homelander	Antony Starr	The Boys
good/MiniMax_H3_00890_.mp4	Tony Montana	Al Pacino	Scarface
good/MiniMax_H3_00891_.mp4	Patrick Bateman	Christian Bale	American Psycho
good/MiniMax_H3_00894_.mp4	Miranda Priestly	Meryl Streep	The Devil Wears Prada
good/MiniMax_H3_00900_.mp4	Maleficent	Angelina Jolie	Maleficent
good/MiniMax_H3_00901_.mp4	Neo	Keanu Reeves	The Matrix
good/MiniMax_H3_00902_.mp4	John Wick	Keanu Reeves	John Wick
good/MiniMax_H3_00903_.mp4	Ethan Hunt	Tom Cruise	Mission: Impossible
good/MiniMax_H3_00905_.mp4	Han Solo	Harrison Ford	Star Wars
good/MiniMax_H3_00906_.mp4	Michael Corleone	Al Pacino	The Godfather
good/MiniMax_H3_00907_.mp4	Travis Bickle	Robert De Niro	Taxi Driver
good/MiniMax_H3_00908_.mp4	Marty McFly	Michael J. Fox	Back to the Future
good/MiniMax_H3_00910_.mp4	Forrest Gump	Tom Hanks	Forrest Gump
good/MiniMax_H3_00911_.mp4	Bruce Wayne / Batman	Christian Bale	The Dark Knight
good/MiniMax_H3_00912_.mp4	Harry Potter	Daniel Radcliffe	Harry Potter
good/MiniMax_H3_00913_.mp4	Tony Stark	Robert Downey Jr.	Marvel's Avengers
good/MiniMax_H3_00914_.mp4	The Terminator T-800	Arnold Schwarzenegger	The Terminator
good/MiniMax_H3_00915_.mp4	Captain Jack Sparrow	Johnny Depp	Pirates of the Caribbean
good/MiniMax_H3_00916_.mp4	Hermione Granger	Emma Watson	Harry Potter
good/MiniMax_H3_00917_.mp4	Ron Weasley	Rupert Grint	Harry Potter
good/MiniMax_H3_00918_.mp4	Rubeus Hagrid	Robbie Coltrane	Harry Potter
good/MiniMax_H3_00920_.mp4	Catwoman / Selina Kyle	Michelle Pfeiffer	Batman Returns
good/MiniMax_H3_00921_.mp4	Elizabeth Swann	Keira Knightley	Pirates of the Caribbean
good/MiniMax_H3_00924_.mp4	Billy Butcher	Karl Urban	The Boys
good/MiniMax_H3_00955_.mp4	Eric Cartman	Trey Parker	South Park
good/MiniMax_H3_00956_.mp4	Stan Marsh	Trey Parker	South Park
good/MiniMax_H3_00957_.mp4	Kyle Broflovski	Matt Stone	South Park
good/MiniMax_H3_00958_.mp4	Kenny McCormick	Matt Stone	South Park
good/MiniMax_H3_00959_.mp4	Randy Marsh	Trey Parker	South Park
good/MiniMax_H3_00960_.mp4	Charlie Harper	Charlie Sheen	Two and a Half Men
good/MiniMax_H3_00961_.mp4	Alan Harper	Jon Cryer	Two and a Half Men
good/MiniMax_H3_00965_.mp4	Spock	Leonard Nimoy	Star Trek: The Original Series
good/MiniMax_H3_00968_.mp4	Paul Atreides	Timothée Chalamet	Dune
good/MiniMax_H3_00971_.mp4	Dominic Toretto	Vin Diesel	Fast & Furious
good/MiniMax_H3_00972_.mp4	Willow Rosenberg	Alyson Hannigan	Buffy the Vampire Slayer
good/MiniMax_H3_00974_.mp4	Max Black	Kat Dennings	2 Broke Girls
good/MiniMax_H3_00975_.mp4	Caroline Channing	Beth Behrs	2 Broke Girls
good/MiniMax_H3_00976_.mp4	Lt. Colonel John Sheppard	Joe Flanigan	Stargate Atlantis
good/MiniMax_H3_00977_.mp4	Dr. Rodney McKay	David Hewlett	Stargate Atlantis
good/MiniMax_H3_00978_.mp4	Clara Oswald	Jenna Coleman	Doctor Who
good/MiniMax_H3_00979_.mp4	The Twelfth Doctor	Peter Capaldi	Doctor Who
good/MiniMax_H3_00981_.mp4	The Eleventh Doctor	Matt Smith	Doctor Who
good/MiniMax_H3_00987_.mp4	Richard B. Riddick	Vin Diesel	The Chronicles of Riddick
good/MiniMax_H3_00988_.mp4	Martin Riggs	Mel Gibson	Lethal Weapon
good/MiniMax_H3_00991_.mp4	Axel Foley	Eddie Murphy	Beverly Hills Cop
